Index,Time,SPX
101,2023-04-10 13:32:28.287250+00:00,4074.8799
102,2023-04-10 13:32:29.114974+00:00,4074.8799
103,2023-04-10 13:32:29.944178+00:00,4074.8
104,2023-04-10 13:32:30.786845+00:00,4074.73
105,2023-04-10 13:32:31.614136+00:00,4074.6101
106,2023-04-10 13:32:32.439179+00:00,4074.73
107,2023-04-10 13:32:33.347957+00:00,4074.78
108,2023-04-10 13:32:34.166654+00:00,4074.76
109,2023-04-10 13:32:34.994107+00:00,4074.76
110,2023-04-10 13:32:35.896685+00:00,4074.6101
111,2023-04-10 13:32:36.769619+00:00,4074.6699
112,2023-04-10 13:32:37.710552+00:00,4074.79
113,2023-04-10 13:32:38.645118+00:00,4074.49
114,2023-04-10 13:32:39.511656+00:00,4074.47
115,2023-04-10 13:32:40.345637+00:00,4074.4099
116,2023-04-10 13:32:41.177255+00:00,4074.49
117,2023-04-10 13:32:42.005632+00:00,4074.49
118,2023-04-10 13:32:42.827831+00:00,4074.8201
119,2023-04-10 13:32:43.694375+00:00,4074.8999
120,2023-04-10 13:32:44.601641+00:00,4074.98
121,2023-04-10 13:32:45.430921+00:00,4074.98
122,2023-04-10 13:32:46.264221+00:00,4074.9299
123,2023-04-10 13:32:47.131138+00:00,4074.8799
124,2023-04-10 13:32:47.967049+00:00,4074.8799
125,2023-04-10 13:32:48.907249+00:00,4074.8501
126,2023-04-10 13:32:49.766940+00:00,4074.6899
127,2023-04-10 13:32:50.666290+00:00,4074.77
128,2023-04-10 13:32:51.607864+00:00,4074.78
129,2023-04-10 13:32:52.501609+00:00,4074.72
130,2023-04-10 13:32:53.329149+00:00,4074.51
131,2023-04-10 13:32:54.172504+00:00,4074.53
132,2023-04-10 13:32:54.999313+00:00,4074.53
133,2023-04-10 13:32:55.827763+00:00,4074.45
134,2023-04-10 13:32:56.658551+00:00,4074.45
135,2023-04-10 13:32:57.487336+00:00,4074.25
136,2023-04-10 13:32:58.319153+00:00,4074.0801
137,2023-04-10 13:32:59.145998+00:00,4073.96
138,2023-04-10 13:32:59.974680+00:00,4073.96
139,2023-04-10 13:33:00.803071+00:00,4073.9199
140,2023-04-10 13:33:01.628258+00:00,4073.9099
141,2023-04-10 13:33:02.453426+00:00,4074.04
142,2023-04-10 13:33:03.282784+00:00,4074.05
143,2023-04-10 13:33:04.189218+00:00,4074.25
144,2023-04-10 13:33:05.091103+00:00,4074.25
145,2023-04-10 13:33:06.045035+00:00,4074.8101
146,2023-04-10 13:33:06.957130+00:00,4074.8999
147,2023-04-10 13:33:07.784791+00:00,4074.78
148,2023-04-10 13:33:08.619747+00:00,4074.8501
149,2023-04-10 13:33:09.484311+00:00,4074.77
150,2023-04-10 13:33:10.421720+00:00,4074.71
151,2023-04-10 13:33:11.240389+00:00,4074.9099
152,2023-04-10 13:33:12.135276+00:00,4074.99
153,2023-04-10 13:33:12.955689+00:00,4074.99
154,2023-04-10 13:33:13.780744+00:00,4075.02
155,2023-04-10 13:33:14.609273+00:00,4075.1499
156,2023-04-10 13:33:15.548448+00:00,4075.01
157,2023-04-10 13:33:16.424218+00:00,4074.99
158,2023-04-10 13:33:17.255373+00:00,4074.9299
159,2023-04-10 13:33:18.203295+00:00,4074.8701
160,2023-04-10 13:33:19.104204+00:00,4074.8701
161,2023-04-10 13:33:19.971629+00:00,4074.9399
162,2023-04-10 13:33:20.840441+00:00,4074.8899
163,2023-04-10 13:33:21.686561+00:00,4074.8101
164,2023-04-10 13:33:22.519396+00:00,4074.8999
165,2023-04-10 13:33:23.345814+00:00,4075.0
166,2023-04-10 13:33:24.220581+00:00,4074.99
167,2023-04-10 13:33:25.046305+00:00,4074.99
168,2023-04-10 13:33:25.923421+00:00,4074.9099
169,2023-04-10 13:33:26.796754+00:00,4074.9099
170,2023-04-10 13:33:27.625387+00:00,4075.29
171,2023-04-10 13:33:28.530642+00:00,4075.3201
