ID,Time,SPX
100,2023-04-13 13:32:26.728760+00:00,4104.77
101,2023-04-13 13:32:27.552110+00:00,4104.7202
102,2023-04-13 13:32:28.381137+00:00,4104.6899
103,2023-04-13 13:32:29.203185+00:00,4104.71
104,2023-04-13 13:32:30.065185+00:00,4104.71
105,2023-04-13 13:32:30.928055+00:00,4104.7002
106,2023-04-13 13:32:31.747510+00:00,4104.6802
107,2023-04-13 13:32:32.578694+00:00,4104.5
108,2023-04-13 13:32:33.397323+00:00,4104.7202
109,2023-04-13 13:32:34.246184+00:00,4104.6602
110,2023-04-13 13:32:35.110701+00:00,4104.6602
111,2023-04-13 13:32:35.927262+00:00,4104.73
112,2023-04-13 13:32:36.749214+00:00,4104.8901
113,2023-04-13 13:32:37.618595+00:00,4104.8901
114,2023-04-13 13:32:38.482494+00:00,4104.8901
115,2023-04-13 13:32:39.305411+00:00,4104.8599
116,2023-04-13 13:32:40.208944+00:00,4104.7202
117,2023-04-13 13:32:41.115060+00:00,4104.7202
118,2023-04-13 13:32:41.954310+00:00,4104.8501
119,2023-04-13 13:32:42.815273+00:00,4104.7402
120,2023-04-13 13:32:43.709388+00:00,4104.7202
121,2023-04-13 13:32:44.529827+00:00,4104.7798
122,2023-04-13 13:32:45.380391+00:00,4104.79
123,2023-04-13 13:32:46.214249+00:00,4104.7402
124,2023-04-13 13:32:47.037866+00:00,4104.7402
125,2023-04-13 13:32:47.865307+00:00,4104.8101
126,2023-04-13 13:32:48.809248+00:00,4104.8901
127,2023-04-13 13:32:49.663388+00:00,4105.0
128,2023-04-13 13:32:50.532021+00:00,4105.0
129,2023-04-13 13:32:51.474363+00:00,4104.98
130,2023-04-13 13:32:52.296330+00:00,4105.23
131,2023-04-13 13:32:53.115455+00:00,4105.1299
132,2023-04-13 13:32:53.952962+00:00,4105.1299
133,2023-04-13 13:32:54.815407+00:00,4105.1299
134,2023-04-13 13:32:55.718050+00:00,4105.1401
135,2023-04-13 13:32:56.579968+00:00,4105.2002
136,2023-04-13 13:32:57.398685+00:00,4105.21
137,2023-04-13 13:32:58.222891+00:00,4105.3198
138,2023-04-13 13:32:59.047183+00:00,4105.3198
139,2023-04-13 13:32:59.981458+00:00,4105.3799
140,2023-04-13 13:33:00.847739+00:00,4105.25
141,2023-04-13 13:33:01.694209+00:00,4105.3501
142,2023-04-13 13:33:02.514010+00:00,4105.3301
143,2023-04-13 13:33:03.379900+00:00,4105.23
144,2023-04-13 13:33:04.213459+00:00,4105.1099
145,2023-04-13 13:33:05.074196+00:00,4105.1099
146,2023-04-13 13:33:06.008740+00:00,4105.0698
147,2023-04-13 13:33:06.911815+00:00,4104.8301
148,2023-04-13 13:33:07.814985+00:00,4104.5601
149,2023-04-13 13:33:08.640283+00:00,4104.2998
150,2023-04-13 13:33:09.471934+00:00,4104.4199
151,2023-04-13 13:33:10.368415+00:00,4104.48
152,2023-04-13 13:33:11.230685+00:00,4104.8501
153,2023-04-13 13:33:12.124196+00:00,4104.8501
154,2023-04-13 13:33:12.985403+00:00,4104.9702
155,2023-04-13 13:33:13.809578+00:00,4105.1401
156,2023-04-13 13:33:14.640042+00:00,4105.1099
157,2023-04-13 13:33:15.537537+00:00,4105.0898
158,2023-04-13 13:33:16.361441+00:00,4105.1802
159,2023-04-13 13:33:17.186493+00:00,4104.9102
160,2023-04-13 13:33:18.086321+00:00,4104.9102
161,2023-04-13 13:33:18.948261+00:00,4104.7998
162,2023-04-13 13:33:19.820318+00:00,4104.8198
163,2023-04-13 13:33:20.664436+00:00,4104.8198
164,2023-04-13 13:33:21.570238+00:00,4105.0801
165,2023-04-13 13:33:22.507669+00:00,4104.9199
166,2023-04-13 13:33:23.327648+00:00,4104.8501
167,2023-04-13 13:33:24.220616+00:00,4104.6802
168,2023-04-13 13:33:25.077289+00:00,4104.6802
169,2023-04-13 13:33:25.897932+00:00,4104.5801
170,2023-04-13 13:33:26.755592+00:00,4104.4902
171,2023-04-13 13:33:27.585322+00:00,4104.4902
172,2023-04-13 13:33:28.480138+00:00,4104.3701
173,2023-04-13 13:33:29.342083+00:00,4104.4199
174,2023-04-13 13:33:30.167602+00:00,4104.3901
175,2023-04-13 13:33:30.990639+00:00,4104.3901
176,2023-04-13 13:33:31.852500+00:00,4104.21
